,name,,,epoch,lr,train_loss,valid_loss,test_loss,valid_MAE,test_MAE,,
177,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_DEEPGNN_mlp1_layer_5_lr_0.001_seed_1\log_file.csv,GNN_DEEPGNN_mlp1_layer_5_lr_0.001_seed_1,layer_5_lr_0.001_seed_1,177,3.23E-05,24.27166048,28.66301727,27.94804382,29.15522575,28.44062805,28.19020526,0.227270666
188,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_DEEPGNN_mlp1_layer_5_lr_0.001_seed_2\log_file.csv,GNN_DEEPGNN_mlp1_layer_5_lr_0.001_seed_2,layer_5_lr_0.001_seed_2,188,8.86E-06,24.17702665,27.76036453,27.64082527,28.25215912,28.13295174,,
182,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_DEEPGNN_mlp1_layer_5_lr_0.001_seed_3\log_file.csv,GNN_DEEPGNN_mlp1_layer_5_lr_0.001_seed_3,layer_5_lr_0.001_seed_3,182,1.99E-05,23.32227714,27.52334404,27.50337791,28.01511955,27.99703598,,
191,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_DEEPGNN_mlp1_layer_8_lr_0.001_seed_1\log_file.csv,GNN_DEEPGNN_mlp1_layer_8_lr_0.001_seed_1,layer_8_lr_0.001_seed_1,191,4.99E-06,22.8565714,27.96660233,26.92323494,28.45773315,27.41559219,27.6333065,0.192281571
164,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_DEEPGNN_mlp1_layer_8_lr_0.001_seed_2\log_file.csv,GNN_DEEPGNN_mlp1_layer_8_lr_0.001_seed_2,layer_8_lr_0.001_seed_2,164,7.78E-05,22.74550672,27.56167603,27.2871151,28.05524826,27.77988052,,
174,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_DEEPGNN_mlp1_layer_8_lr_0.001_seed_3\log_file.csv,GNN_DEEPGNN_mlp1_layer_8_lr_0.001_seed_3,layer_8_lr_0.001_seed_3,174,4.11E-05,22.68692312,26.92693901,27.21156502,27.4193573,27.70444679,,
198,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_DEEPGNN_mlp1_layer_16_lr_0.001_seed_1\log_file.csv,GNN_DEEPGNN_mlp1_layer_16_lr_0.001_seed_1,layer_16_lr_0.001_seed_1,198,2.47E-07,22.41595818,27.60978699,26.57230186,28.10220528,27.0650959,27.18290329,0.108571688
192,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_DEEPGNN_mlp1_layer_16_lr_0.001_seed_2\log_file.csv,GNN_DEEPGNN_mlp1_layer_16_lr_0.001_seed_2,layer_16_lr_0.001_seed_2,192,3.94E-06,20.97822709,27.03009796,26.78671265,27.52401161,27.2789402,,
188,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_4_16_DEEPGNN_mlp1_layer_16_lr_0.001_seed_3\log_file.csv,GNN_4_16_DEEPGNN_mlp1_layer_16_lr_0.001_seed_3,DEEPGNN_mlp1_layer_16_lr_0.001_seed_3,188,8.86E-06,21.54017482,26.72908783,26.71193123,27.22171021,27.20467377,,
190,D:\yue\chem_dataset\DEEPGNN_RT\output\GNN_4_16_DEEPGNN_mlp1_layer_24_lr_0.001_seed_1\log_file.csv,GNN_4_16_DEEPGNN_mlp1_layer_24_lr_0.001_seed_1,DEEPGNN_mlp1_layer_24_lr_0.001_seed_1,190,6.16E-06,23.1159841,27.74164772,26.7990036,28.23504066,27.29096031,27.19351832,0.218994514
